"","ID","CHR","MAPINFO","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Relation_to_UCSC_CpG_Island"
"cg04913815","cg04913815","16",60438,"","","",""
"cg01686861","cg01686861","16",60748,"","","",""
"cg05558259","cg05558259","16",61085,"","","",""
"cg26978960","cg26978960","16",62460,"","","",""
"cg03792876","cg03792876","16",73243,"","","","S_Shore"
"cg09699726","cg09699726","16",91602,"","","",""
"cg07549526","cg07549526","16",91663,"","","",""
"cg02851049","cg02851049","16",101260,"POLR3K","NM_016310","Body","N_Shelf"
"cg11876012","cg11876012","16",101686,"POLR3K","NM_016310","Body","N_Shore"
"cg14820573","cg14820573","16",102121,"POLR3K","NM_016310","Body","N_Shore"
"cg14747225","cg14747225","16",103024,"SNRNP25;POLR3K","NM_024571;NM_016310","TSS1500;Body","N_Shore"
"cg00762468","cg00762468","16",103568,"POLR3K;SNRNP25","NM_016310;NM_024571","1stExon;TSS1500","Island"
"cg00958578","cg00958578","16",103715,"SNRNP25;POLR3K","NM_024571;NM_016310","TSS200;TSS200","Island"
"cg11653271","cg11653271","16",103723,"SNRNP25;POLR3K","NM_024571;NM_016310","TSS200;TSS200","Island"
"cg03974483","cg03974483","16",104033,"POLR3K;SNRNP25","NM_016310;NM_024571","TSS1500;1stExon","Island"
"cg01062126","cg01062126","16",104539,"SNRNP25;POLR3K","NM_024571;NM_016310","Body;TSS1500","S_Shore"
"cg00992207","cg00992207","16",107404,"SNRNP25","NM_024571","3'UTR","N_Shelf"
"cg00914902","cg00914902","16",108114,"RHBDF1","NM_022450","3'UTR","N_Shelf"
"cg27248189","cg27248189","16",110305,"RHBDF1","NM_022450","Body","N_Shore"
"cg06194960","cg06194960","16",111362,"RHBDF1","NM_022450","Body","Island"
"cg20220196","cg20220196","16",111753,"RHBDF1","NM_022450","Body","Island"
"cg09201525","cg09201525","16",111871,"RHBDF1","NM_022450","Body","Island"
"cg03333116","cg03333116","16",112444,"RHBDF1","NM_022450","Body","Island"
"cg04721268","cg04721268","16",112802,"RHBDF1","NM_022450","Body","Island"
"cg01403103","cg01403103","16",112852,"RHBDF1","NM_022450","Body","Island"
"cg01502407","cg01502407","16",113155,"RHBDF1","NM_022450","Body","Island"
"cg04322210","cg04322210","16",114987,"RHBDF1","NM_022450","Body","S_Shore"
"cg26933686","cg26933686","16",115957,"RHBDF1","NM_022450","5'UTR","S_Shelf"
"cg00179196","cg00179196","16",117934,"RHBDF1","NM_022450","5'UTR",""
"cg07405083","cg07405083","16",119384,"RHBDF1","NM_022450","5'UTR","N_Shelf"
"cg06934747","cg06934747","16",120902,"RHBDF1","NM_022450","5'UTR","N_Shore"
"cg00525011","cg00525011","16",122031,"RHBDF1","NM_022450","5'UTR","Island"
"cg03948744","cg03948744","16",122563,"RHBDF1;RHBDF1","NM_022450;NM_022450","5'UTR;1stExon","Island"
"cg09113560","cg09113560","16",122812,"RHBDF1","NM_022450","TSS200","Island"
"cg04995976","cg04995976","16",123246,"RHBDF1","NM_022450","TSS1500","S_Shore"
"cg06230303","cg06230303","16",123353,"RHBDF1","NM_022450","TSS1500","S_Shore"
"cg01262217","cg01262217","16",123363,"RHBDF1","NM_022450","TSS1500","S_Shore"
"cg04260507","cg04260507","16",123601,"RHBDF1","NM_022450","TSS1500","S_Shore"
"cg17199481","cg17199481","16",123676,"RHBDF1","NM_022450","TSS1500","S_Shore"
"cg01422009","cg01422009","16",125896,"MPG","NM_001015054","TSS1500","N_Shore"
"cg03462322","cg03462322","16",126397,"MPG","NM_001015054","TSS1500","N_Shore"
"cg16383109","cg16383109","16",126451,"MPG","NM_001015054","TSS1500","N_Shore"
"cg03110993","cg03110993","16",126848,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","TSS200;TSS1500;TSS1500","N_Shore"
"cg03492469","cg03492469","16",126855,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","TSS200;TSS1500;TSS1500","N_Shore"
"cg05501742","cg05501742","16",126892,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","TSS200;TSS1500;TSS1500","N_Shore"
"cg16003913","cg16003913","16",127072,"MPG;MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015054;NM_001015052","5'UTR;TSS1500;1stExon;TSS1500","N_Shore"
"cg04257263","cg04257263","16",127088,"MPG;MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015054;NM_001015052","5'UTR;TSS1500;1stExon;TSS1500","N_Shore"
"cg15017278","cg15017278","16",127449,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","5'UTR;TSS1500;TSS1500","Island"
"cg02729269","cg02729269","16",127772,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","5'UTR;TSS1500;TSS1500","Island"
"cg07395378","cg07395378","16",127952,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","5'UTR;TSS1500;TSS1500","Island"
"cg05397937","cg05397937","16",128494,"MPG;MPG;MPG","NM_001015054;NM_001015052;NM_002434","5'UTR;Body;5'UTR","Island"
"cg15768556","cg15768556","16",128630,"MPG;MPG;MPG","NM_001015054;NM_001015052;NM_002434","5'UTR;Body;5'UTR","Island"
"cg05394456","cg05394456","16",129230,"MPG;MPG;MPG","NM_001015054;NM_001015052;NM_002434","5'UTR;Body;5'UTR","S_Shore"
"cg10143220","cg10143220","16",129454,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","Body;Body;Body","S_Shore"
"cg00935108","cg00935108","16",129562,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","Body;Body;Body","S_Shore"
"cg02949481","cg02949481","16",131562,"MPG;MPG;MPG","NM_001015054;NM_002434;NM_001015052","Body;Body;Body","S_Shelf"
"cg05791870","cg05791870","16",136656,"C16orf35;C16orf35","NM_001039476;NM_001077350","3'UTR;3'UTR",""
"cg07484220","cg07484220","16",136809,"C16orf35;C16orf35","NM_001039476;NM_001077350","Body;Body",""
"cg07405534","cg07405534","16",139739,"C16orf35;C16orf35","NM_001039476;NM_001077350","Body;Body",""
"cg26925590","cg26925590","16",139752,"C16orf35;C16orf35","NM_001039476;NM_001077350","Body;Body",""
"cg07371452","cg07371452","16",139780,"C16orf35;C16orf35","NM_001039476;NM_001077350","Body;Body",""
"cg04807152","cg04807152","16",147558,"C16orf35;C16orf35","NM_001039476;NM_001077350","Body;Body",""
